ApprovedSymbol	ApprovedName
LRRC7	leucine rich repeat containing 7
LRRC7-AS1	LRRC7 antisense RNA 1
LRRC8A	leucine rich repeat containing 8 VRAC subunit A
LRRC8B	leucine rich repeat containing 8 VRAC subunit B
LRRC8C	leucine rich repeat containing 8 VRAC subunit C
LRRC8C-DT	LRRC8C divergent transcript
LRRC8D	leucine rich repeat containing 8 VRAC subunit D
LRRC8D-DT	LRRC8D divergent transcript
LRRC8E	leucine rich repeat containing 8 VRAC subunit E
LRRC9	leucine rich repeat containing 9
LRRC10	leucine rich repeat containing 10
LRRC10B	leucine rich repeat containing 10B
LRRC14	leucine rich repeat containing 14
LRRC14B	leucine rich repeat containing 14B
LRRC15	leucine rich repeat containing 15
LRRC17	leucine rich repeat containing 17
LRRC18	leucine rich repeat containing 18
LRRC19	leucine rich repeat containing 19
LRRC20	leucine rich repeat containing 20
LRRC23	leucine rich repeat containing 23
LRRC24	leucine rich repeat containing 24
LRRC25	leucine rich repeat containing 25
LRRC26	leucine rich repeat containing 26
LRRC27	leucine rich repeat containing 27
LRRC28	leucine rich repeat containing 28
LRRC29	leucine rich repeat containing 29
LRRC30	leucine rich repeat containing 30
LRRC31	leucine rich repeat containing 31
LRRC32	leucine rich repeat containing 32
LRRC34	leucine rich repeat containing 34
LRRC36	leucine rich repeat containing 36
LRRC37A	leucine rich repeat containing 37A
LRRC37A2	leucine rich repeat containing 37 member A2
LRRC37A3	leucine rich repeat containing 37 member A3
LRRC37B	leucine rich repeat containing 37B
LRRC38	leucine rich repeat containing 38
LRRC39	leucine rich repeat containing 39
LRRC40	leucine rich repeat containing 40
LRRC41	leucine rich repeat containing 41
LRRC42	leucine rich repeat containing 42
LRRC43	leucine rich repeat containing 43
LRRC45	leucine rich repeat containing 45
LRRC46	leucine rich repeat containing 46
LRRC47	leucine rich repeat containing 47
LRRC49	leucine rich repeat containing 49
LRRC51	leucine rich repeat containing 51
LRRC52	leucine rich repeat containing 52
LRRC52-AS1	LRRC52 antisense RNA 1
LRRC53	leucine rich repeat containing 53
LRRC55	leucine rich repeat containing 55
LRRC56	leucine rich repeat containing 56
LRRC57	leucine rich repeat containing 57
LRRC58	leucine rich repeat containing 58
LRRC58-DT	LRRC58 divergent transcript
LRRC59	leucine rich repeat containing 59
LRRC61	leucine rich repeat containing 61
LRRC63	leucine rich repeat containing 63
LRRC66	leucine rich repeat containing 66
LRRC69	leucine rich repeat containing 69
LRRC70	leucine rich repeat containing 70
LRRC71	leucine rich repeat containing 71
LRRC72	leucine rich repeat containing 72
LRRC73	leucine rich repeat containing 73
LRRC74A	leucine rich repeat containing 74A
LRRC74B	leucine rich repeat containing 74B
LRRC75A	leucine rich repeat containing 75A
LRRC75B	leucine rich repeat containing 75B
LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1
LRRD1	leucine rich repeats and death domain containing 1
LRRFIP1	LRR binding FLII interacting protein 1
LRRFIP2	LRR binding FLII interacting protein 2
LRRIQ1	leucine rich repeats and IQ motif containing 1
LRRIQ3	leucine rich repeats and IQ motif containing 3
LRRIQ4	leucine rich repeats and IQ motif containing 4
LRRK1	leucine rich repeat kinase 1
LRRK2	leucine rich repeat kinase 2
LRRK2-DT	LRRK2 divergent transcript
LRRN1	leucine rich repeat neuronal 1
LRRN2	leucine rich repeat neuronal 2
LRRN3	leucine rich repeat neuronal 3
LRRN4	leucine rich repeat neuronal 4
LRRN4CL	LRRN4 C-terminal like
LRRTM1	leucine rich repeat transmembrane neuronal 1
LRRTM2	leucine rich repeat transmembrane neuronal 2
LRRTM3	leucine rich repeat transmembrane neuronal 3
LRRTM4	leucine rich repeat transmembrane neuronal 4
LRRTM4-AS1	LRRTM4 antisense RNA 1
LRSAM1	leucine rich repeat and sterile alpha motif containing 1
LRTM1	leucine rich repeats and transmembrane domains 1
LRTM2	leucine rich repeats and transmembrane domains 2
LRWD1	leucine rich repeats and WD repeat domain containing 1
LSAMP	limbic system associated membrane protein
LSAMP-AS1	LSAMP antisense RNA 1
LSG1	large 60S subunit nuclear export GTPase 1
LSINCT5	long stress-induced non-coding transcript 5
LSM1	LSM1 homolog, mRNA degradation associated
LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM8	LSM8 homolog, U6 small nuclear RNA associated
LSM10	LSM10, U7 small nuclear RNA associated
LSM11	LSM11, U7 small nuclear RNA associated
LSM12	LSM12 homolog
LSM14A	LSM14A mRNA processing body assembly factor
LSM14B	LSM family member 14B
LSMEM1	leucine rich single-pass membrane protein 1
LSMEM2	leucine rich single-pass membrane protein 2
LSP1	lymphocyte specific protein 1
LSR	lipolysis stimulated lipoprotein receptor
LSS	lanosterol synthase
LST1	leukocyte specific transcript 1
LTA	lymphotoxin alpha
LTA4H	leukotriene A4 hydrolase
LTB	lymphotoxin beta
LTB4R	leukotriene B4 receptor
LTB4R2	leukotriene B4 receptor 2
LTBP1	latent transforming growth factor beta binding protein 1
LTBP2	latent transforming growth factor beta binding protein 2
LTBP3	latent transforming growth factor beta binding protein 3
LTBP4	latent transforming growth factor beta binding protein 4
LTBR	lymphotoxin beta receptor
LTC4S	leukotriene C4 synthase
LTF	lactotransferrin
LTK	leukocyte receptor tyrosine kinase
LTN1	listerin E3 ubiquitin protein ligase 1
LTO1	LTO1 maturation factor of ABCE1
LTV1	LTV1 ribosome biogenesis factor
LUADT1	lung adenocarcinoma associated transcript 1
LUARIS	lncRNA upregulator of antiviral response interferon signaling
LUC7L	LUC7 like
LUC7L2	LUC7 like 2, pre-mRNA splicing factor
LUC7L3	LUC7 like 3 pre-mRNA splicing factor
LUCAT1	lung cancer associated transcript 1
LUM	lumican
LUNAR1	leukemia-associated non-coding IGF1R activator RNA 1
LURAP1	leucine rich adaptor protein 1
LURAP1L	leucine rich adaptor protein 1 like
LURAP1L-AS1	LURAP1L antisense RNA 1
LUZP1	leucine zipper protein 1
LUZP2	leucine zipper protein 2
LUZP4	leucine zipper protein 4
LUZP6	leucine zipper protein 6
LVRN	laeverin
LXN	latexin
LY6D	lymphocyte antigen 6 family member D
LY6E	lymphocyte antigen 6 family member E
LY6E-DT	LY6E divergent transcript
LY6G5B	lymphocyte antigen 6 family member G5B
LY6G5C	lymphocyte antigen 6 family member G5C
LY6G6C	lymphocyte antigen 6 family member G6C
LY6G6D	lymphocyte antigen 6 family member G6D
LY6G6F	lymphocyte antigen 6 family member G6F
LY6H	lymphocyte antigen 6 family member H
LY6K	lymphocyte antigen 6 family member K
LY6L	lymphocyte antigen 6 family member L
LY9	lymphocyte antigen 9
LY75	lymphocyte antigen 75
LY86	lymphocyte antigen 86
LY86-AS1	LY86 antisense RNA 1
LY96	lymphocyte antigen 96
LYAR	Ly1 antibody reactive
LYG1	lysozyme g1
LYG2	lysozyme g2
LYL1	LYL1 basic helix-loop-helix family member
LYN	LYN proto-oncogene, Src family tyrosine kinase
LYNX1	Ly6/neurotoxin 1
LYPD1	LY6/PLAUR domain containing 1
LYPD2	LY6/PLAUR domain containing 2
LYPD3	LY6/PLAUR domain containing 3
LYPD4	LY6/PLAUR domain containing 4
LYPD5	LY6/PLAUR domain containing 5
LYPD6	LY6/PLAUR domain containing 6
LYPD6B	LY6/PLAUR domain containing 6B
LYPD8	LY6/PLAUR domain containing 8
LYPLA1	lysophospholipase 1
LYPLA2	lysophospholipase 2
LYPLAL1	lysophospholipase like 1
LYPLAL1-AS1	LYPLAL1 antisense RNA 1
LYPLAL1-DT	LYPLAL1 divergent transcript
LYRM1	LYR motif containing 1
LYRM2	LYR motif containing 2
LYRM4	LYR motif containing 4
LYRM4-AS1	LYRM4 antisense RNA 1
LYRM7	LYR motif containing 7
LYRM9	LYR motif containing 9
LYSMD1	LysM domain containing 1
LYSMD2	LysM domain containing 2
LYSMD3	LysM domain containing 3
LYSMD4	LysM domain containing 4
LYST	lysosomal trafficking regulator
LYST-AS1	LYST antisense RNA 1
LYST-IT1	LYST intronic transcript 1 (non-protein coding)
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
LYZ	lysozyme
LYZL1	lysozyme like 1
LYZL2	lysozyme like 2
LYZL4	lysozyme like 4
LYZL6	lysozyme like 6
LZIC	leucine zipper and CTNNBIP1 domain containing
LZTFL1	leucine zipper transcription factor like 1
LZTR1	leucine zipper like transcription regulator 1
LZTS1	leucine zipper tumor suppressor 1
LZTS1-AS1	LZTS1 antisense RNA 1
LZTS2	leucine zipper tumor suppressor 2
LZTS3	leucine zipper tumor suppressor family member 3
M1AP	meiosis 1 associated protein
M6PR	mannose-6-phosphate receptor, cation dependent
M195	membrane external protein 195kDa
MAB21L1	mab-21 like 1
MAB21L2	mab-21 like 2
MAB21L3	mab-21 like 3
MAB21L4	mab-21 like 4
MACC1	MET transcriptional regulator MACC1
MACC1-AS1	MACC1 antisense RNA 1
MACC1-DT	MACC1 divergent transcript
MACF1	microtubule actin crosslinking factor 1
MACIR	macrophage immunometabolism regulator
MACO1	macoilin 1
MACORIS	macrophage enriched lincRNA repressor of IFN-gamma signaling
MACROD1	mono-ADP ribosylhydrolase 1
MACROD2	mono-ADP ribosylhydrolase 2
MACROD2-AS1	MACROD2 antisense RNA 1
MACROD2-IT1	MACROD2 intronic transcript 1
MACROH2A1	macroH2A.1 histone
MACROH2A2	macroH2A.2 histone
MAD1L1	mitotic arrest deficient 1 like 1
MAD2L1	mitotic arrest deficient 2 like 1
MAD2L1-DT	MAD2L1 divergent transcript
MAD2L1BP	MAD2L1 binding protein
MAD2L2	mitotic arrest deficient 2 like 2
MADCAM1	mucosal vascular addressin cell adhesion molecule 1
MADCAM1-AS1	MADCAM1 antisense RNA 1
MADD	MAP kinase activating death domain
MADD-AS1	MADD antisense RNA 1
MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase
MAEL	maelstrom spermatogenic transposon silencer
MAF	MAF bZIP transcription factor
MAF1	MAF1 homolog, negative regulator of RNA polymerase III
MAFA	MAF bZIP transcription factor A
MAFA-AS1	MAFA antisense RNA 1
MAFB	MAF bZIP transcription factor B
MAFF	MAF bZIP transcription factor F
MAFG	MAF bZIP transcription factor G
MAFG-DT	MAFG divergent transcript
MAFK	MAF bZIP transcription factor K
MAFTRR	MAF transcriptional regulator RNA
MAG	myelin associated glycoprotein
MAGEA1	MAGE family member A1
MAGEA2	MAGE family member A2
MAGEA2B	MAGE family member A2B
MAGEA3	MAGE family member A3
MAGEA4	MAGE family member A4
MAGEA4-AS1	MAGEA4 antisense RNA 1
MAGEA6	MAGE family member A6
MAGEA6-DT	MAGEA6 divergent transcript
MAGEA8	MAGE family member A8
MAGEA8-AS1	MAGEA8 antisense RNA 1
MAGEA9	MAGE family member A9
MAGEA9B	MAGE family member A9B
MAGEA10	MAGE family member A10
MAGEA11	MAGE family member A11
MAGEA12	MAGE family member A12
MAGEB1	MAGE family member B1
MAGEB2	MAGE family member B2
MAGEB3	MAGE family member B3
MAGEB4	MAGE family member B4
MAGEB5	MAGE family member B5
MAGEB6	MAGE family member B6
MAGEB10	MAGE family member B10
MAGEB16	MAGE family member B16
MAGEB17	MAGE family member B17
MAGEB18	MAGE family member B18
MAGEC1	MAGE family member C1
MAGEC2	MAGE family member C2
MAGEC3	MAGE family member C3
MAGED1	MAGE family member D1
MAGED2	MAGE family member D2
MAGED4	MAGE family member D4
MAGED4B	MAGE family member D4B
MAGEE1	MAGE family member E1
MAGEE2	MAGE family member E2
MAGEF1	MAGE family member F1
MAGEH1	MAGE family member H1
MAGEL2	MAGE family member L2
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
MAGI1-AS1	MAGI1 antisense RNA 1
MAGI1-IT1	MAGI1 intronic transcript 1
MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
MAGI2-AS1	MAGI2 antisense RNA 1
MAGI2-AS2	MAGI2 antisense RNA 2
MAGI2-AS3	MAGI2 antisense RNA 3
MAGI2-IT1	MAGI2 intronic transcript 1
MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3
MAGIX	MAGI family member, X-linked
MAGOH	mago homolog, exon junction complex subunit
MAGOH-DT	MAGOH divergent transcript
MAGOHB	mago homolog B, exon junction complex subunit
MAGT1	magnesium transporter 1
MAILR	macrophage interferon regulatory lncRNA
MAIP1	matrix AAA peptidase interacting protein 1
MAJIN	membrane anchored junction protein
MAK	male germ cell associated kinase
MAK16	MAK16 homolog
MAL	mal, T cell differentiation protein
MAL2	mal, T cell differentiation protein 2
MAL2-AS1	MAL2 antisense RNA 1
MALAT1	metastasis associated lung adenocarcinoma transcript 1
MALINC1	mitosis associated long intergenic non-coding RNA 1
MALL	mal, T cell differentiation protein like
MALRD1	MAM and LDL receptor class A domain containing 1
MALSU1	mitochondrial assembly of ribosomal large subunit 1
MALT1	MALT1 paracaspase
MALT1-AS1	MALT1 antisense RNA 1
MAMDC2	MAM domain containing 2
MAMDC2-AS1	MAMDC2 antisense RNA 1
MAMDC4	MAM domain containing 4
MAML1	mastermind like transcriptional coactivator 1
MAML2	mastermind like transcriptional coactivator 2
MAML3	mastermind like transcriptional coactivator 3
MAMLD1	mastermind like domain containing 1
MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator
MAN1A1	mannosidase alpha class 1A member 1
MAN1A2	mannosidase alpha class 1A member 2
MAN1B1	mannosidase alpha class 1B member 1
MAN1B1-DT	MAN1B1 divergent transcript
MAN1C1	mannosidase alpha class 1C member 1
MAN2A1	mannosidase alpha class 2A member 1
MAN2A1-DT	MAN2A1 divergent transcript
MAN2A2	mannosidase alpha class 2A member 2
MAN2B1	mannosidase alpha class 2B member 1
MAN2B2	mannosidase alpha class 2B member 2
MAN2C1	mannosidase alpha class 2C member 1
MANBA	mannosidase beta
MANBAL	mannosidase beta like
MANCR	mitotically associated long non coding RNA
MANEA	mannosidase endo-alpha
MANEA-DT	MANEA divergent transcript
MANEAL	mannosidase endo-alpha like
MANF	mesencephalic astrocyte derived neurotrophic factor
MANSC1	MANSC domain containing 1
MANSC4	MANSC domain containing 4
MAOA	monoamine oxidase A
MAOB	monoamine oxidase B
MAP1A	microtubule associated protein 1A
MAP1B	microtubule associated protein 1B
MAP1LC3A	microtubule associated protein 1 light chain 3 alpha
MAP1LC3B	microtubule associated protein 1 light chain 3 beta
MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2
MAP1LC3C	microtubule associated protein 1 light chain 3 gamma
MAP1S	microtubule associated protein 1S
MAP2	microtubule associated protein 2
MAP2K1	mitogen-activated protein kinase kinase 1
MAP2K2	mitogen-activated protein kinase kinase 2
MAP2K3	mitogen-activated protein kinase kinase 3
MAP2K4	mitogen-activated protein kinase kinase 4
MAP2K5	mitogen-activated protein kinase kinase 5
MAP2K5-DT	MAP2K5 divergent transcript
MAP2K6	mitogen-activated protein kinase kinase 6
MAP2K7	mitogen-activated protein kinase kinase 7
MAP3K1	mitogen-activated protein kinase kinase kinase 1
MAP3K2	mitogen-activated protein kinase kinase kinase 2
MAP3K2-DT	MAP3K2 divergent transcript
MAP3K3	mitogen-activated protein kinase kinase kinase 3
MAP3K4	mitogen-activated protein kinase kinase kinase 4
MAP3K4-AS1	MAP3K4 antisense RNA 1
MAP3K5	mitogen-activated protein kinase kinase kinase 5
MAP3K5-AS1	MAP3K5 antisense RNA 1
MAP3K6	mitogen-activated protein kinase kinase kinase 6
MAP3K7	mitogen-activated protein kinase kinase kinase 7
MAP3K7CL	MAP3K7 C-terminal like
MAP3K8	mitogen-activated protein kinase kinase kinase 8
MAP3K9	mitogen-activated protein kinase kinase kinase 9
MAP3K9-DT	MAP3K9 divergent transcript
MAP3K10	mitogen-activated protein kinase kinase kinase 10
MAP3K11	mitogen-activated protein kinase kinase kinase 11
MAP3K12	mitogen-activated protein kinase kinase kinase 12
MAP3K13	mitogen-activated protein kinase kinase kinase 13
MAP3K14	mitogen-activated protein kinase kinase kinase 14
MAP3K14-AS1	MAP3K14 antisense RNA 1
MAP3K15	mitogen-activated protein kinase kinase kinase 15
MAP3K19	mitogen-activated protein kinase kinase kinase 19
MAP3K20	mitogen-activated protein kinase kinase kinase 20
MAP3K20-AS1	MAP3K20 antisense RNA 1
MAP3K21	mitogen-activated protein kinase kinase kinase 21
MAP4	microtubule associated protein 4
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
MAP4K1-AS1	MAP4K1 antisense RNA 1
MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
MAP4K3-DT	MAP4K3 divergent transcript
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
MAP6	microtubule associated protein 6
MAP6D1	MAP6 domain containing 1
MAP7	microtubule associated protein 7
MAP7D1	MAP7 domain containing 1
MAP7D2	MAP7 domain containing 2
MAP7D3	MAP7 domain containing 3
MAP9	microtubule associated protein 9
MAP10	microtubule associated protein 10
MAPK1	mitogen-activated protein kinase 1
MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like
MAPK3	mitogen-activated protein kinase 3
MAPK4	mitogen-activated protein kinase 4
MAPK6	mitogen-activated protein kinase 6
MAPK6-DT	MAPK6 divergent transcript
MAPK7	mitogen-activated protein kinase 7
MAPK8	mitogen-activated protein kinase 8
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
MAPK9	mitogen-activated protein kinase 9
MAPK10	mitogen-activated protein kinase 10
MAPK10-AS1	MAPK10 antisense RNA 1
MAPK11	mitogen-activated protein kinase 11
MAPK12	mitogen-activated protein kinase 12
MAPK13	mitogen-activated protein kinase 13
MAPK14	mitogen-activated protein kinase 14
MAPK15	mitogen-activated protein kinase 15
MAPKAP1	MAPK associated protein 1
MAPKAPK2	MAPK activated protein kinase 2
MAPKAPK3	MAPK activated protein kinase 3
MAPKAPK5	MAPK activated protein kinase 5
MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1
MAPKBP1	mitogen-activated protein kinase binding protein 1
MAPRE1	microtubule associated protein RP/EB family member 1
MAPRE2	microtubule associated protein RP/EB family member 2
MAPRE3	microtubule associated protein RP/EB family member 3
MAPRE3-AS1	MAPRE3 antisense RNA 1
MAPT	microtubule associated protein tau
MAPT-AS1	MAPT antisense RNA 1
MAPT-IT1	MAPT intronic transcript 1
MARCHF1	membrane associated ring-CH-type finger 1
MARCHF2	membrane associated ring-CH-type finger 2
MARCHF3	membrane associated ring-CH-type finger 3
MARCHF4	membrane associated ring-CH-type finger 4
MARCHF5	membrane associated ring-CH-type finger 5
MARCHF6	membrane associated ring-CH-type finger 6
MARCHF7	membrane associated ring-CH-type finger 7
MARCHF8	membrane associated ring-CH-type finger 8
MARCHF9	membrane associated ring-CH-type finger 9
MARCHF10	membrane associated ring-CH-type finger 10
MARCHF10-DT	MARCHF10 divergent transcript
MARCHF11	membrane associated ring-CH-type finger 11
MARCHF11-AS1	MARCHF11 antisense RNA 1
MARCHF11-DT	MARCHF11 divergent transcript
MARCKS	myristoylated alanine rich protein kinase C substrate
MARCKSL1	MARCKS like 1
MARCO	macrophage receptor with collagenous structure
MARCOL	MARCO like
MARF1	meiosis regulator and mRNA stability factor 1
MARK1	microtubule affinity regulating kinase 1
MARK2	microtubule affinity regulating kinase 2
MARK3	microtubule affinity regulating kinase 3
MARK4	microtubule affinity regulating kinase 4
MARS1	methionyl-tRNA synthetase 1
MARS2	methionyl-tRNA synthetase 2, mitochondrial
MARVELD1	MARVEL domain containing 1
MARVELD2	MARVEL domain containing 2
MARVELD3	MARVEL domain containing 3
MAS1	MAS1 proto-oncogene, G protein-coupled receptor
MAS1L	MAS1 proto-oncogene like, G protein-coupled receptor
MASP1	MBL associated serine protease 1
MASP2	MBL associated serine protease 2
MAST1	microtubule associated serine/threonine kinase 1
MAST2	microtubule associated serine/threonine kinase 2
MAST3	microtubule associated serine/threonine kinase 3
MAST3-AS1	MAST3 antisense RNA 1
MAST4	microtubule associated serine/threonine kinase family member 4
MAST4-AS1	MAST4 antisense RNA 1
MAST4-IT1	MAST4 intronic transcript 1
MASTL	microtubule associated serine/threonine kinase like
MAT1A	methionine adenosyltransferase 1A
MAT2A	methionine adenosyltransferase 2A
MAT2B	methionine adenosyltransferase 2B
MATK	megakaryocyte-associated tyrosine kinase
MATN1	matrilin 1
MATN1-AS1	MATN1 antisense RNA 1
MATN2	matrilin 2
MATN3	matrilin 3
MATN4	matrilin 4
MATR3	matrin 3
MAU2	MAU2 sister chromatid cohesion factor
MAVS	mitochondrial antiviral signaling protein
MAX	MYC associated factor X
MAZ	MYC associated zinc finger protein
MB	myoglobin
MB21D2	Mab-21 domain containing 2
MBD1	methyl-CpG binding domain protein 1
MBD2	methyl-CpG binding domain protein 2
MBD3	methyl-CpG binding domain protein 3
MBD3L1	methyl-CpG binding domain protein 3 like 1
MBD3L2	methyl-CpG binding domain protein 3 like 2
MBD3L2B	methyl-CpG binding domain protein 3 like 2B
MBD3L3	methyl-CpG binding domain protein 3 like 3
MBD3L4	methyl-CpG binding domain protein 3 like 4
MBD3L5	methyl-CpG binding domain protein 3 like 5
MBD4	methyl-CpG binding domain 4, DNA glycosylase
MBD5	methyl-CpG binding domain protein 5
MBD6	methyl-CpG binding domain protein 6
MBIP	MAP3K12 binding inhibitory protein 1
MBL2	mannose binding lectin 2
MBLAC1	metallo-beta-lactamase domain containing 1
MBLAC2	metallo-beta-lactamase domain containing 2
MBNL1	muscleblind like splicing regulator 1
MBNL1-AS1	MBNL1 antisense RNA 1
MBNL2	muscleblind like splicing regulator 2
MBNL3	muscleblind like splicing regulator 3
MBOAT1	membrane bound O-acyltransferase domain containing 1
MBOAT2	membrane bound O-acyltransferase domain containing 2
MBOAT4	membrane bound O-acyltransferase domain containing 4
MBOAT7	membrane bound O-acyltransferase domain containing 7
MBP	myelin basic protein
MBTD1	mbt domain containing 1
MBTPS1	membrane bound transcription factor peptidase, site 1
MBTPS1-DT	MBTPS1 divergent transcript
MBTPS2	membrane bound transcription factor peptidase, site 2
MC1R	melanocortin 1 receptor
MC2R	melanocortin 2 receptor
MC3R	melanocortin 3 receptor
MC4R	melanocortin 4 receptor
MC5R	melanocortin 5 receptor
MCAM	melanoma cell adhesion molecule
MCAT	malonyl-CoA-acyl carrier protein transacylase
MCC	MCC regulator of WNT signaling pathway
MCCC1	methylcrotonyl-CoA carboxylase subunit 1
MCCC1-AS1	MCCC1 antisense RNA 1
MCCC2	methylcrotonyl-CoA carboxylase subunit 2
MCCD1	mitochondrial coiled-coil domain 1
MCEE	methylmalonyl-CoA epimerase
MCEMP1	mast cell expressed membrane protein 1
MCF2	MCF.2 cell line derived transforming sequence
MCF2L	MCF.2 cell line derived transforming sequence like
MCF2L-AS1	MCF2L antisense RNA 1
MCF2L2	MCF.2 cell line derived transforming sequence-like 2
MCFD2	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit
MCHR1	melanin concentrating hormone receptor 1
MCHR2	melanin concentrating hormone receptor 2
MCHR2-AS1	MCHR2 antisense RNA 1
MCIDAS	multiciliate differentiation and DNA synthesis associated cell cycle protein
MCL1	MCL1 apoptosis regulator, BCL2 family member
MCM2	minichromosome maintenance complex component 2
MCM3	minichromosome maintenance complex component 3
MCM3AP	minichromosome maintenance complex component 3 associated protein
MCM3AP-AS1	MCM3AP antisense RNA 1
MCM4	minichromosome maintenance complex component 4
MCM5	minichromosome maintenance complex component 5
MCM6	minichromosome maintenance complex component 6
MCM7	minichromosome maintenance complex component 7
MCM8	minichromosome maintenance 8 homologous recombination repair factor
MCM8-AS1	MCM8 antisense RNA 1
MCM9	minichromosome maintenance 9 homologous recombination repair factor
MCM10	minichromosome maintenance 10 replication initiation factor
MCMBP	minichromosome maintenance complex binding protein
MCMDC2	minichromosome maintenance domain containing 2
MCOLN1	mucolipin TRP cation channel 1
MCOLN2	mucolipin TRP cation channel 2
MCOLN3	mucolipin TRP cation channel 3
MCPH1	microcephalin 1
MCPH1-AS1	MCPH1 antisense RNA 1
MCPH1-DT	MCPH1 divergent transcript
MCRIP1	MAPK regulated corepressor interacting protein 1
MCRIP2	MAPK regulated corepressor interacting protein 2
MCRS1	microspherule protein 1
MCTP1	multiple C2 and transmembrane domain containing 1
MCTP1-AS1	MCTP1 antisense RNA 1
MCTP2	multiple C2 and transmembrane domain containing 2
MCTS1	MCTS1 re-initiation and release factor
MCU	mitochondrial calcium uniporter
MCUB	mitochondrial calcium uniporter dominant negative subunit beta
MCUR1	mitochondrial calcium uniporter regulator 1
MDC1	mediator of DNA damage checkpoint 1
MDC1-AS1	MDC1 antisense RNA 1
MDFI	MyoD family inhibitor
MDFIC	MyoD family inhibitor domain containing
MDFIC2	MyoD family inhibitor domain containing 2
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2
MDH1	malate dehydrogenase 1
MDH1B	malate dehydrogenase 1B
MDH2	malate dehydrogenase 2
MDK	midkine
MDM1	Mdm1 nuclear protein
MDM2	MDM2 proto-oncogene
MDM4	MDM4 regulator of p53
MDN1	midasin AAA ATPase 1
MDN1-AS1	MDN1 antisense RNA 1
MDP1	magnesium dependent phosphatase 1
MDS2	myelodysplastic syndrome 2 translocation associated
ME1	malic enzyme 1
ME2	malic enzyme 2
ME3	malic enzyme 3
ME3-DT	ME3 divergent transcript
MEA1	male-enhanced antigen 1
MEAF6	MYST/Esa1 associated factor 6
MEAK7	MTOR associated protein, eak-7 homolog
MECOM	MDS1 and EVI1 complex locus
MECOM-AS1	MECOM antisense RNA 1
MECP2	methyl-CpG binding protein 2
MECR	mitochondrial trans-2-enoyl-CoA reductase
MED1	mediator complex subunit 1
MED4	mediator complex subunit 4
MED4-AS1	MED4 antisense RNA 1
MED6	mediator complex subunit 6
MED7	mediator complex subunit 7
MED8	mediator complex subunit 8
MED8-AS1	MED8 antisense RNA 1
MED9	mediator complex subunit 9
MED10	mediator complex subunit 10
MED11	mediator complex subunit 11
MED12	mediator complex subunit 12
MED12L	mediator complex subunit 12L
MED13	mediator complex subunit 13
MED13L	mediator complex subunit 13L
MED14	mediator complex subunit 14
MED14OS	MED14 opposite strand
MED15	mediator complex subunit 15
MED16	mediator complex subunit 16
MED17	mediator complex subunit 17
MED18	mediator complex subunit 18
MED19	mediator complex subunit 19
MED20	mediator complex subunit 20
MED21	mediator complex subunit 21
MED22	mediator complex subunit 22
MED23	mediator complex subunit 23
MED24	mediator complex subunit 24
MED25	mediator complex subunit 25
MED26	mediator complex subunit 26
MED27	mediator complex subunit 27
MED28	mediator complex subunit 28
MED28-DT	MED28 divergent transcript
MED29	mediator complex subunit 29
MED30	mediator complex subunit 30
MED31	mediator complex subunit 31
MEDAG	mesenteric estrogen dependent adipogenesis
MEF2A	myocyte enhancer factor 2A
MEF2B	myocyte enhancer factor 2B
MEF2C	myocyte enhancer factor 2C
MEF2C-AS1	MEF2C antisense RNA 1
MEF2C-AS2	MEF2C antisense RNA 2
MEF2D	myocyte enhancer factor 2D
MEFV	MEFV innate immuity regulator, pyrin
MEG3	maternally expressed 3
MEG8	maternally expressed 8, small nucleolar RNA host gene
MEG9	maternally expressed 9
MEGF6	multiple EGF like domains 6
MEGF8	multiple EGF like domains 8
MEGF9	multiple EGF like domains 9
MEGF10	multiple EGF like domains 10
